customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_binary,charges_per_month_tenure,total_services,churn_probability,churn_predicted,risk_tier
9420-LOJKX,0,0,0,0,15,1,0,1,1,1,0,0,1,1,0,1,1,99.1,1426.4,Yes,1,6.19375,4,0.8284716,1,High
6575-SUVOI,0,1,1,0,25,1,1,0,1,0,0,1,1,0,0,1,1,69.5,1752.65,No,0,2.673076923076923,3,0.14184655,0,Low
7495-OOKFY,0,1,1,0,8,1,1,1,0,1,0,0,0,0,0,1,1,80.65,633.3,Yes,1,8.961111111111112,1,0.8644233,1,High
4667-QONEA,0,1,1,1,60,1,0,0,1,1,1,1,0,1,1,1,1,74.85,4456.35,No,0,1.2270491803278687,5,0.058733784,0,Low
1658-BYGOY,1,1,0,0,18,1,1,1,0,0,0,0,1,1,0,1,2,95.45,1752.55,Yes,1,5.023684210526316,2,0.8287766,1,High
8769-KKTPH,0,0,1,1,63,1,1,1,1,0,0,0,1,1,1,1,1,99.65,6311.2,No,0,1.55703125,3,0.30453494,0,Medium
5067-XJQFU,1,1,1,1,66,1,1,1,0,1,1,1,1,1,1,1,2,108.45,7076.35,No,0,1.6186567164179104,5,0.14161897,0,Low
3957-SQXML,0,0,1,1,34,1,1,2,0,0,0,0,0,0,2,0,1,24.95,894.3,No,0,0.7128571428571429,0,0.026118526,0,Low
5954-BDFSG,0,0,0,0,72,1,1,1,0,0,1,1,1,1,2,1,1,107.5,7853.7,No,0,1.4726027397260273,4,0.019403093,0,Low
0434-CSFON,0,0,1,0,47,1,1,1,0,0,1,0,1,1,0,1,2,100.5,4707.1,No,0,2.09375,3,0.74110055,1,High
1215-FIGMP,1,0,0,0,60,1,1,1,0,1,0,0,1,0,0,1,0,89.9,5450.7,No,0,1.4737704918032788,2,0.24675204,0,Low
0526-SXDJP,1,0,1,0,72,0,0,0,1,1,1,0,0,0,2,0,0,42.1,2962.0,No,0,0.5767123287671233,3,0.002567134,0,Low
0557-ASKVU,0,0,1,1,18,1,0,0,0,0,1,1,0,0,1,1,1,54.4,957.1,No,0,2.863157894736842,2,0.12687735,0,Low
5698-BQJOH,0,0,0,0,9,1,1,1,0,0,0,0,1,1,0,0,2,94.4,857.25,Yes,1,9.440000000000001,2,0.84289396,1,High
5122-CYFXA,0,0,0,0,3,1,0,0,0,1,0,1,1,1,0,1,2,75.3,244.1,No,0,18.825,4,0.5366917,1,Medium
8627-ZYGSZ,1,0,1,0,47,1,1,1,0,1,0,0,0,0,1,1,2,78.9,3650.35,No,0,1.64375,1,0.118532665,0,Low
3410-YOQBQ,0,0,0,0,31,1,0,0,0,1,1,1,1,1,2,0,3,79.2,2497.2,No,0,2.475,5,0.034536432,0,Low
3170-NMYVV,0,0,1,1,50,1,0,2,0,0,0,0,0,0,2,0,0,20.15,930.9,No,0,0.39509803921568626,0,0.011166732,0,Low
7410-OIEDU,1,0,0,0,10,1,0,1,1,0,1,0,0,0,0,1,3,79.85,887.35,No,0,7.259090909090909,2,0.67822707,1,High
2273-QCKXA,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,49.05,49.05,No,0,24.525,1,0.5231138,1,Medium
0731-EBJQB,0,0,1,1,52,1,0,2,0,0,0,0,0,0,1,1,2,20.4,1090.65,No,0,0.38490566037735846,0,0.012866788,0,Low
1891-QRQSA,1,1,1,1,64,1,1,1,1,0,1,1,1,1,2,1,0,111.6,7099.0,No,0,1.7169230769230768,5,0.06641033,0,Low
8028-PNXHQ,1,0,1,1,62,1,1,2,0,0,0,0,0,0,2,1,0,24.25,1424.6,No,0,0.38492063492063494,0,0.0031316618,0,Low
5630-AHZIL,0,0,0,1,3,1,0,0,1,0,0,1,0,1,0,1,0,64.5,177.4,No,0,16.125,3,0.234915,0,Low
2673-CXQEU,0,1,0,0,56,1,1,1,1,1,1,0,1,1,1,0,2,110.5,6139.5,No,0,1.9385964912280702,5,0.43965313,0,Medium
6416-JNVRK,0,0,0,0,46,1,0,0,0,0,0,0,0,1,1,0,1,55.65,2688.85,No,0,1.1840425531914893,1,0.20726693,0,Low
5590-ZSKRV,0,0,1,1,8,1,0,0,1,1,0,0,0,0,0,0,3,54.65,482.25,No,0,6.072222222222222,2,0.2712955,0,Low
0191-ZHSKZ,1,1,0,0,30,1,0,0,1,1,0,0,1,1,0,1,2,74.75,2111.3,No,0,2.411290322580645,4,0.2843642,0,Low
3887-PBQAO,0,0,1,1,45,1,1,2,0,0,0,0,0,0,1,1,1,25.9,1216.6,No,0,0.5630434782608695,0,0.0230009,0,Low
5919-TMRGD,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,2,79.35,79.35,Yes,1,39.675,1,0.951429,1,High
8108-UXRQN,0,0,1,1,11,0,0,0,1,0,0,0,1,1,0,0,2,50.55,565.35,No,0,4.2124999999999995,3,0.4055596,0,Medium
9191-MYQKX,0,0,1,0,7,1,0,1,0,0,1,0,0,0,0,1,0,75.15,496.9,Yes,1,9.39375,1,0.7820391,1,High
9919-YLNNG,0,0,0,0,42,1,0,1,0,1,1,1,1,1,0,1,0,103.8,4327.5,No,0,2.413953488372093,5,0.606622,1,High
0318-ZOPWS,0,0,1,0,49,1,0,2,0,0,0,0,0,0,2,1,0,20.15,973.35,No,0,0.40299999999999997,0,0.01160051,0,Low
4445-ZJNMU,1,0,0,0,9,1,1,1,0,1,0,0,1,1,0,1,1,99.3,918.75,No,0,9.93,3,0.9468673,1,High
4808-YNLEU,0,0,1,0,35,1,0,0,1,0,0,0,1,0,1,1,0,62.15,2215.45,No,0,1.7263888888888888,2,0.09540474,0,Low
1862-QRWPE,0,0,1,1,48,1,0,2,0,0,0,0,0,0,2,0,0,20.65,1057.0,No,0,0.4214285714285714,0,0.0168996,0,Low
2796-NNUFI,0,0,1,1,46,1,0,2,0,0,0,0,0,0,2,1,3,19.95,927.1,No,0,0.42446808510638295,0,0.00565961,0,Low
3016-KSVCP,1,0,1,0,29,0,0,0,0,0,0,0,1,0,0,0,3,33.75,1009.25,No,0,1.125,1,0.24822973,0,Low
4767-HZZHQ,1,0,1,1,30,1,0,1,0,1,1,0,0,0,0,0,0,82.05,2570.2,No,0,2.646774193548387,2,0.43386257,0,Medium
2424-WVHPL,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,2,74.7,74.7,No,0,37.35,1,0.39712954,0,Medium
7233-PAHHL,1,0,1,1,66,1,1,0,1,0,1,1,1,1,2,1,3,84.0,5714.25,No,0,1.2537313432835822,5,0.008162975,0,Low
6067-NGCEU,0,0,0,0,65,1,1,1,1,1,1,0,1,1,0,1,1,111.05,7107.0,No,0,1.6825757575757576,5,0.14075594,0,Low
9848-JQJTX,1,0,0,0,72,1,1,1,0,1,1,0,1,1,2,1,0,100.9,7459.05,No,0,1.382191780821918,4,0.03853641,0,Low
8637-XJIVR,0,0,0,0,12,1,1,1,1,0,0,0,0,0,0,1,2,78.95,927.35,Yes,1,6.073076923076924,1,0.7480222,1,High
9803-FTJCG,1,0,1,1,71,1,1,0,1,1,0,1,0,0,1,1,1,66.85,4748.7,No,0,0.9284722222222221,3,0.008782322,0,Low
0278-YXOOG,1,0,0,0,5,1,0,2,0,0,0,0,0,0,0,0,3,21.05,113.85,Yes,1,3.5083333333333333,0,0.28978544,0,Low
3212-KXOCR,1,0,0,0,52,1,0,2,0,0,0,0,0,0,2,0,0,21.0,1107.2,No,0,0.39622641509433965,0,0.027951926,0,Low
4598-XLKNJ,0,1,1,0,25,1,0,1,0,1,1,0,1,1,0,1,2,98.5,2514.5,Yes,1,3.7884615384615383,4,0.87851816,1,High
6380-ARCEH,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,3,20.2,20.2,No,0,10.1,0,0.55919147,1,Medium
3679-XASPY,0,0,1,1,1,1,0,2,0,0,0,0,0,0,0,0,2,19.45,19.45,No,0,9.725,0,0.5881022,1,Medium
7123-WQUHX,1,0,0,0,38,1,1,1,0,0,1,1,1,0,1,0,0,95.0,3605.6,No,0,2.4358974358974357,3,0.11989482,0,Low
5386-THSLQ,0,1,1,0,66,0,0,0,0,1,1,0,1,0,1,0,0,45.55,3027.25,No,0,0.6798507462686567,3,0.09040802,0,Low
3192-NQECA,1,0,1,0,68,1,1,1,0,1,1,1,1,1,2,1,0,110.0,7611.85,Yes,1,1.5942028985507246,5,0.54792446,1,Medium
6180-YBIQI,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,24.3,100.2,No,0,4.05,0,0.45119926,0,Medium
6728-DKUCO,0,0,1,1,72,1,1,1,1,1,0,0,1,1,1,1,2,104.15,7303.05,No,0,1.4267123287671233,4,0.111786105,0,Low
9750-BOOHV,0,0,0,0,32,0,0,0,1,0,0,0,0,0,1,0,3,30.15,927.65,No,0,0.9136363636363636,1,0.03305766,0,Low
8597-CWYHH,1,0,0,0,43,1,1,1,0,0,0,0,1,1,1,0,3,94.35,3921.3,No,0,2.1443181818181816,2,0.27182758,0,Low
2848-YXSMW,1,0,1,1,72,1,0,2,0,0,0,0,0,0,2,0,1,19.4,1363.25,No,0,0.2657534246575342,0,0.0026667933,0,Low
0486-HECZI,1,0,1,0,55,1,1,1,1,1,0,0,1,0,0,1,2,96.75,5238.9,Yes,1,1.7276785714285714,3,0.57038426,1,Medium
4549-ZDQYY,0,0,0,0,52,1,0,0,1,0,1,1,0,0,1,0,1,57.95,3042.25,No,0,1.0933962264150945,3,0.2091198,0,Low
5712-AHQNN,0,0,0,0,43,1,0,1,0,1,1,0,1,0,0,1,2,91.65,3954.1,No,0,2.0829545454545455,3,0.40450132,0,Medium
4846-WHAFZ,0,1,1,0,37,1,1,1,0,0,0,0,0,0,0,1,2,76.5,2868.15,Yes,1,2.013157894736842,0,0.76804507,1,High
5256-SKJGO,0,0,1,1,64,0,0,0,0,1,0,1,1,1,2,1,2,54.6,3423.5,No,0,0.84,4,0.02084135,0,Low
3071-VBYPO,1,0,1,1,3,1,0,1,1,1,0,0,1,0,0,0,2,89.85,248.4,No,0,22.4625,3,0.40752837,0,Medium
9560-BBZXK,0,0,0,0,36,0,0,0,1,0,0,0,0,0,2,0,0,31.05,1126.35,No,0,0.8391891891891892,1,0.048649147,0,Low
5299-RULOA,0,0,1,1,10,1,1,1,1,0,0,0,1,1,0,1,2,100.25,1064.65,Yes,1,9.113636363636363,3,0.9660837,1,High
8402-OOOHJ,0,0,0,0,41,1,0,2,0,0,0,0,0,0,2,0,3,20.65,835.15,No,0,0.49166666666666664,0,0.0045627123,0,Low
9445-ZUEQE,1,0,1,1,27,1,1,1,0,1,0,1,0,0,0,1,1,85.2,2151.6,No,0,3.042857142857143,2,0.473298,0,Medium
1091-SOZGA,0,0,1,1,56,1,1,1,0,0,1,0,1,1,1,1,1,99.8,5515.45,No,0,1.750877192982456,3,0.43425518,0,Medium
2928-HLDBA,0,0,0,0,6,1,0,2,0,0,0,0,0,0,0,0,3,20.7,112.75,No,0,2.957142857142857,0,0.18493153,0,Low
0404-SWRVG,1,0,0,0,3,1,1,1,0,0,0,0,0,0,0,1,2,74.4,229.55,Yes,1,18.6,0,0.82240826,1,High
6497-TILVL,0,0,1,1,7,1,0,0,1,0,0,0,0,0,0,0,3,50.7,350.35,No,0,6.3375,1,0.35554478,0,Medium
7219-TLZHO,0,0,1,1,4,1,0,2,0,0,0,0,0,0,0,0,3,20.85,62.9,No,0,4.17,0,0.24967507,0,Low
4622-YNKIJ,1,0,0,0,33,1,0,1,1,0,0,1,1,0,2,1,2,88.95,3027.65,No,0,2.6161764705882353,3,0.073829845,0,Low
4412-YLTKF,0,1,0,0,27,1,1,1,0,0,1,0,0,0,0,1,2,78.05,2135.5,Yes,1,2.7875,1,0.7151093,1,High
6734-PSBAW,1,0,1,0,72,1,1,2,0,0,0,0,0,0,2,1,0,23.55,1723.95,No,0,0.32260273972602743,0,0.0014677766,0,Low
3930-ZGWVE,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,3,19.75,19.75,No,0,9.875,0,0.55880517,1,Medium
2639-UGMAZ,1,1,0,0,71,0,0,0,1,1,0,0,1,1,1,1,2,56.45,3985.35,No,0,0.7840277777777778,4,0.02738734,0,Low
2876-GZYZC,0,0,0,0,13,1,1,1,0,0,0,0,0,1,0,1,2,85.95,1215.65,No,0,6.139285714285714,1,0.731798,1,High
6207-WIOLX,0,0,1,1,25,0,0,0,1,1,1,0,1,1,0,1,1,58.6,1502.65,Yes,1,2.253846153846154,5,0.59319776,1,Medium
8587-XYZSF,1,0,0,0,67,1,0,0,0,0,0,1,0,0,2,0,0,50.55,3260.1,No,0,0.7433823529411764,1,0.031456396,0,Low
3091-FYHKI,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,35.45,35.45,Yes,1,17.725,1,0.85650647,1,High
2372-HWUHI,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,81.25,Yes,1,14.783333333333333,0,0.65572697,1,High
7799-LGRDP,0,0,0,0,43,1,1,2,0,0,0,0,0,0,2,1,1,25.7,1188.2,No,0,0.5840909090909091,0,0.01765779,0,Low
7850-VWJUU,0,0,0,0,23,1,0,1,1,0,0,0,0,0,0,1,0,75.0,1778.5,No,0,3.125,1,0.54364735,1,Medium
3774-VBNXY,0,0,1,1,64,1,0,2,0,0,0,0,0,0,2,0,3,20.2,1277.75,No,0,0.31076923076923074,0,0.011339529,0,Low
6217-KDYWC,1,0,0,1,57,1,0,2,0,0,0,0,0,0,2,1,3,19.6,1170.55,No,0,0.33793103448275863,0,0.05902793,0,Low
0390-DCFDQ,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,70.45,Yes,1,35.225,0,0.9032167,1,High
3146-MSEGF,0,1,1,1,72,1,1,0,1,1,1,1,1,1,2,1,1,88.05,6425.65,No,0,1.2061643835616438,6,0.00416723,0,Low
4080-OGPJL,0,0,0,0,8,1,1,0,1,0,0,1,0,1,0,0,2,71.15,563.65,Yes,1,7.905555555555556,3,0.68159604,1,High
1095-WGNGG,0,0,1,0,61,1,1,1,0,1,0,0,1,1,2,1,0,101.05,5971.25,No,0,1.6298387096774194,3,0.06650181,0,Low
2636-SJDOU,1,0,0,0,64,1,1,1,1,1,0,0,0,0,1,1,1,84.3,5289.05,No,0,1.2969230769230768,2,0.1212597,0,Low
1131-QQZEB,1,1,1,0,71,1,1,2,0,0,0,0,0,0,2,0,0,23.95,1756.2,No,0,0.3326388888888889,0,0.0019283867,0,Low
5716-EZXZN,0,0,1,1,65,1,1,1,1,1,0,1,1,0,2,1,1,99.05,6416.7,No,0,1.5007575757575757,4,0.06970043,0,Low
6837-BJYDQ,1,0,0,0,3,1,0,2,0,0,0,0,0,0,1,0,3,19.6,61.35,No,0,4.9,0,0.072793774,0,Low
2135-RXIHG,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,45.65,Yes,1,22.825,0,0.8584089,1,High
6440-DKQGE,1,0,0,1,30,1,0,0,0,1,1,0,1,0,1,0,1,64.5,1929.95,No,0,2.0806451612903225,3,0.040373143,0,Low
3466-BYAVD,1,0,1,1,15,1,0,0,0,1,1,1,0,1,0,1,3,69.5,1071.4,No,0,4.34375,4,0.33493197,0,Medium
3780-YVMFA,0,0,1,1,8,1,0,0,0,0,0,1,1,1,0,1,2,68.55,564.35,No,0,7.616666666666666,3,0.56971717,1,Medium
3874-EQOEP,1,0,0,0,7,1,1,1,0,0,0,0,1,1,0,0,3,95.0,655.5,Yes,1,11.875,2,0.90106636,1,High
1679-JRFBR,0,0,1,1,70,1,1,1,1,1,1,0,1,1,1,1,1,108.15,7930.55,No,0,1.5232394366197184,5,0.12660742,0,Low
9073-ZZIAY,1,0,1,1,62,1,0,0,1,1,1,1,1,1,2,0,2,86.1,5215.25,No,0,1.3666666666666665,6,0.014984497,0,Low
3077-RSNTJ,0,0,1,1,6,1,0,2,0,0,0,0,0,0,0,0,3,19.7,113.5,No,0,2.814285714285714,0,0.24323554,0,Low
6551-GNYDG,0,0,1,1,14,1,0,1,0,0,0,0,0,1,0,1,0,80.9,1152.8,No,0,5.3933333333333335,1,0.6084717,1,High
9167-APMXZ,0,0,0,0,22,1,1,1,0,0,0,0,1,0,0,1,0,84.15,1821.95,No,0,3.6586956521739133,1,0.60668486,1,High
2749-CTKAJ,1,0,1,1,22,1,0,2,0,0,0,0,0,0,1,0,3,20.15,419.9,No,0,0.8760869565217391,0,0.013011951,0,Low
6371-NZYEG,1,0,1,1,16,1,0,0,1,0,1,0,1,0,2,0,3,64.25,1024.0,No,0,3.7794117647058822,3,0.013548625,0,Low
7554-NEWDD,1,0,0,0,10,1,1,2,0,0,0,0,0,0,2,0,0,25.7,251.6,No,0,2.3363636363636364,0,0.055487532,0,Low
8992-VONJD,0,0,0,1,13,1,0,0,1,1,0,0,0,0,0,1,2,56.0,764.55,No,0,4.0,2,0.550645,1,Medium
0867-MKZVY,0,0,1,0,20,1,1,1,1,0,0,0,0,0,0,0,2,82.4,1592.35,Yes,1,3.923809523809524,1,0.56484437,1,Medium
4482-EWFMI,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,69.7,135.2,No,0,23.233333333333334,0,0.7980876,1,High
4648-YPBTM,1,0,0,0,53,1,1,0,0,1,1,1,0,1,2,1,0,73.9,3958.25,No,0,1.3685185185185187,4,0.016903967,0,Low
2907-ILJBN,0,0,1,1,11,1,0,2,0,0,0,0,0,0,1,0,3,20.6,233.9,No,0,1.7166666666666668,0,0.045678426,0,Low
6345-FZOQH,1,0,1,0,69,1,0,2,0,0,0,0,0,0,2,0,3,19.9,1363.45,No,0,0.28428571428571425,0,0.004807017,0,Low
3376-BMGFE,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,273.0,Yes,1,14.180000000000001,0,0.8357108,1,High
5997-OPVFA,1,0,1,0,72,1,1,0,1,1,1,1,1,1,2,1,0,89.05,6254.45,No,0,1.2198630136986301,6,0.002760954,0,Low
3445-HXXGF,1,1,1,0,58,0,0,0,0,1,1,0,0,1,0,1,2,45.3,2651.2,Yes,1,0.7677966101694915,3,0.77845603,1,High
1159-WFSGR,0,0,1,1,16,1,0,2,0,0,0,0,0,0,0,0,2,20.4,321.4,No,0,1.2,0,0.19221584,0,Low
7654-YWJUF,1,0,1,0,43,1,0,1,1,0,1,1,0,0,1,1,0,84.25,3539.25,No,0,1.9147727272727273,3,0.10502432,0,Low
1875-QIVME,0,0,1,0,2,1,1,1,0,0,1,1,1,1,0,1,2,104.4,242.8,Yes,1,34.800000000000004,4,0.8574683,1,High
6727-IOTLZ,1,0,1,0,14,1,0,0,0,1,1,1,1,1,2,0,3,81.95,1181.75,No,0,5.463333333333334,5,0.015617419,0,Low
0691-JVSYA,0,0,1,0,53,1,0,1,0,0,1,0,1,1,1,1,0,94.85,5000.2,Yes,1,1.7564814814814813,3,0.55877566,1,Medium
5918-VUKWP,0,0,0,0,32,1,0,2,0,0,0,0,0,0,1,0,0,20.55,654.55,No,0,0.6227272727272728,0,0.021562716,0,Low
1744-JHKYS,0,0,1,0,34,1,1,2,0,0,0,0,0,0,0,0,2,24.7,780.2,No,0,0.7057142857142857,0,0.11683603,0,Low
2656-FMOKZ,0,1,0,0,15,1,1,1,0,0,0,0,0,0,0,1,3,74.45,1145.7,Yes,1,4.653125,0,0.8533026,1,High
2070-FNEXE,0,1,0,0,7,1,0,1,1,0,0,0,0,0,0,0,0,76.45,503.6,Yes,1,9.55625,1,0.47615033,0,Medium
